date,time,time_zone,format,text,notes,favorite,date_utc,time_utc,metadata
30-01-2025,12:08:01,India Standard Time,QR Code,CSM _ 22551A4276 _ 3-1,,0,30-01-2025,06:38:01,
30-01-2025,12:08:09,India Standard Time,QR Code,CSM _ 22551A4287 _ 3-1,,0,30-01-2025,06:38:09,"{""ec"":""L""}"
30-01-2025,12:08:12,India Standard Time,QR Code,CSM _ 22551A4283 _ 3-1,,0,30-01-2025,06:38:12,
30-01-2025,12:08:19,India Standard Time,QR Code,CSE _ 22551A0548 _ 3-1,,0,30-01-2025,06:38:19,
30-01-2025,12:08:21,India Standard Time,QR Code,CSC _ 22551A4633 _ 3-1,,0,30-01-2025,06:38:21,
30-01-2025,12:08:26,India Standard Time,QR Code,CSE _ 22551A0509 _ 3-1,,0,30-01-2025,06:38:26,
30-01-2025,12:08:32,India Standard Time,QR Code,CSE _ 22551A0525 _ 3-1,,0,30-01-2025,06:38:32,"{""ec"":""L""}"
30-01-2025,12:08:34,India Standard Time,QR Code,CSE _ 22551A0510 _ 3-1,,0,30-01-2025,06:38:34,"{""ec"":""L""}"
30-01-2025,12:08:37,India Standard Time,QR Code,CSE _ 22551A0524 _ 3-1,,0,30-01-2025,06:38:37,"{""ec"":""L""}"
30-01-2025,12:08:40,India Standard Time,QR Code,CSD _ 23555a4405 _ 3-1,,0,30-01-2025,06:38:40,
30-01-2025,12:08:42,India Standard Time,QR Code,CSD _ 22551a4432 _ 3-1,,0,30-01-2025,06:38:42,
30-01-2025,12:08:43,India Standard Time,QR Code,CSD _ 22551A4401 _ 3-1,,0,30-01-2025,06:38:43,
30-01-2025,12:08:45,India Standard Time,QR Code,CSD _ 22551A4446 _ 3-1,,0,30-01-2025,06:38:45,
30-01-2025,12:08:47,India Standard Time,QR Code,CSD _ 22551A4427 _ 3-1,,0,30-01-2025,06:38:47,
30-01-2025,12:08:51,India Standard Time,QR Code,CSD _ 22551a4430 _ 3-1,,0,30-01-2025,06:38:51,"{""ec"":""L""}"
30-01-2025,12:08:56,India Standard Time,QR Code,CSE _ 22551A05A6 _ 3-1,,0,30-01-2025,06:38:56,"{""ec"":""L""}"
30-01-2025,12:08:58,India Standard Time,QR Code,CSE _ 22551A05B4 _ 3-1,,0,30-01-2025,06:38:58,
